CPU,Hashrate (kh/s),Power (Watt)
AMD Ryzen 5 1600,,
Intel i5-2400,,
Intel i3-3240,,
Intel i5-3450,,
AMD Ryzen 5 3600,,
Intel i7-3770,,
Intel i5-4460,,
Intel i7-4790,,
Intel i5-6400,,
Intel i7-6700,,
AMD EPYC 7282,,
Intel i3-7300,,
AMD EPYC 7453,,
Intel i5-7500,,
AMD EPYC 7532,,
AMD EPYC 7551,,
AMD Ryzen 5 7600,,
AMD Ryzen 7 7700,,
AMD EPYC 7713,,
AMD EPYC 7742,,
AMD EPYC 7763,,
AMD Ryzen 9 7900,,
Intel i3-8100,,
AMD EPYC 9354,,
Intel i3-10100,,
Intel i7-10700,,
Intel i5-11400,,
Intel i7-12700,,
Intel Celeron G4600,,
Intel Pentium G4400,,
Intel Celeron G3930,,
AMD BC-250 CPU,,
Intel i9-9900K,,
Intel i7-9700K,,
Intel i5-9600K,,
Intel i7-8700K,,
AMD Ryzen 7 8700G,,
AMD Ryzen 5 8600G,,
AMD Ryzen 5 8500G,,
AMD Ryzen 9 7950X3D,,
AMD Ryzen 9 7950X,,
AMD Ryzen 9 7900X3D,,
AMD Ryzen 9 7900X,,
AMD Ryzen 7 7800X3D,,
AMD Ryzen 7 7700X,,
Intel i7-7700K,,
AMD Ryzen 5 7600X,,
AMD Ryzen 9 5950X,,
AMD Ryzen 9 5900X,,
AMD Ryzen 7 5800X3D,,
AMD Ryzen 7 5800X,,
AMD Ryzen 7 5700X,,
AMD Ryzen 7 5700G,,
AMD Ryzen 5 5600X,,
AMD Ryzen 5 5600G,,
AMD Ryzen 9 3950X,,
AMD Ryzen 9 3900X,,
AMD Ryzen 7 3700X,,
AMD Ryzen 5 3600x,,
Intel i7-2600S,,
Intel i9-13900K,,
Intel i9-12900K,,
Intel i9-10900K,,
Intel i7-10870H,,
Intel i7-10700K,,
Intel i5-10600K,,
Intel i5-10310U,,
